compound	receiver	receives from	average probability to receive
M_arg__L_e	Acetomicrobium_sp_DTU-UNIPD972	2	0.355
M_arg__L_e	Acholeplasmatales_sp_DTU-UNIPD950	2	1.0
M_arg__L_e	Actinobacteria_sp_DTU-UNIPD965	2	1.0
M_arg__L_e	Aeromicrobium_sp_DTU-UNIPD973	2	0.030000000000000002
M_arg__L_e	Aminobacterium_colombiense_DTU-UNIPD933	2	0.6799999999999999
M_arg__L_e	Azonexus_sp_DTU-UNIPD953	1	0.19
M_arg__L_e	Bacillales_sp_DTU-UNIPD969	2	1.0
M_arg__L_e	Bacteroidales_sp_DTU-UNIPD922	3	1.0
M_arg__L_e	Bacteroidales_sp_DTU-UNIPD936	2	0.05
M_arg__L_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	2	1.0
M_arg__L_e	Ca_Dethiobacteraceae_sp_DTU-UNIPD976	3	1.0
M_arg__L_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	3	1.0
M_arg__L_e	Catabacter_sp_DTU-UNIPD932	3	1.0
M_arg__L_e	Cloacibacillus_sp_DTU-UNIPD942	1	1.0
M_arg__L_e	Clostridia_sp_DTU-UNIPD924	2	1.0
M_arg__L_e	Clostridia_sp_DTU-UNIPD961	3	1.0
M_arg__L_e	Clostridiales_sp_DTU-UNIPD926	2	0.935
M_arg__L_e	Clostridiales_sp_DTU-UNIPD939	1	1.0
M_arg__L_e	Clostridiales_sp_DTU-UNIPD971	1	1.0
M_arg__L_e	Firmicutes_sp_DTU-UNIPD923	2	1.0
M_arg__L_e	Firmicutes_sp_DTU-UNIPD930	2	1.0
M_arg__L_e	Firmicutes_sp_DTU-UNIPD938	1	1.0
M_arg__L_e	Firmicutes_sp_DTU-UNIPD945	4	1.0
M_arg__L_e	Firmicutes_sp_DTU-UNIPD959	1	1.0
M_arg__L_e	Firmicutes_sp_DTU-UNIPD966	2	1.0
M_arg__L_e	Firmicutes_sp_DTU-UNIPD974	2	1.0
M_arg__L_e	Limnochordia_sp_DTU-UNIPD962	1	0.05
M_arg__L_e	Limnochordia_sp_DTU-UNIPD975	1	1.0
M_arg__L_e	Methanoculleus_thermophilus_DTU-UNIPD927	2	0.585
M_arg__L_e	Rikenellaceae_sp_DTU-UNIPD929	3	1.0
M_arg__L_e	Ruminococcaceae_sp_DTU-UNIPD968	2	0.5833333333333333
M_arg__L_e	Sphaerochaeta_sp_DTU-UNIPD955	2	0.445
M_arg__L_e	Synergistetes_sp_DTU-UNIPD919	1	0.08
M_arg__L_e	Syntrophomonas_sp_DTU-UNIPD935	1	0.42
M_arg__L_e	Tepidanaerobacter_sp_DTU-UNIPD928	3	1.0
M_arg__L_e	bin_8_metaspades	1	1.0
M_asp__L_e	Acetomicrobium_sp_DTU-UNIPD972	9	0.2907407407407408
M_asp__L_e	Acholeplasmatales_sp_DTU-UNIPD950	12	1.0
M_asp__L_e	Acidaminococcales_sp_DTU-UNIPD952	5	0.40800000000000003
M_asp__L_e	Actinobacteria_sp_DTU-UNIPD965	2	0.185
M_asp__L_e	Aeromicrobium_sp_DTU-UNIPD973	7	0.21
M_asp__L_e	Aminobacterium_colombiense_DTU-UNIPD933	6	0.02
M_asp__L_e	Azonexus_sp_DTU-UNIPD953	9	0.12666666666666668
M_asp__L_e	Bacillus_sp_DTU-UNIPD918	4	0.14750000000000002
M_asp__L_e	Bacillus_sp_DTU-UNIPD958	1	1.0
M_asp__L_e	Bacteroidales_sp_DTU-UNIPD922	1	0.04
M_asp__L_e	Bacteroidales_sp_DTU-UNIPD936	9	0.04555555555555555
M_asp__L_e	Ca. Dethiobacteraceae_sp_DTU-UNIPD931	4	0.042499999999999996
M_asp__L_e	Ca_Caldatribacterium_sp_DTU-UNIPD941	4	0.034999999999999996
M_asp__L_e	Ca_Thermacetogeniaceae_sp_DTU-UNIPD947	4	0.0125
M_asp__L_e	Clostridia_sp_DTU-UNIPD946	2	0.19666666666666666
M_asp__L_e	Clostridia_sp_DTU-UNIPD948	5	0.064
M_asp__L_e	Clostridia_sp_DTU-UNIPD951	3	0.38000000000000006
M_asp__L_e	Clostridia_sp_DTU-UNIPD961	1	0.5
M_asp__L_e	Clostridia_sp_DTU-UNIPD964	1	0.04
M_asp__L_e	Clostridia_sp_DTU-UNIPD970	3	0.2611111111111111
M_asp__L_e	Clostridiales_sp_DTU-UNIPD956	7	0.19714285714285715
